time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,-0.142881164948,0.0504224165662,12.052045801,6.272673808,0.0733956633588,0.0,-0.386435359959,0.0519904681231,2.92788571474,-0.0305415497157,0.111695442885,0.0,411.989949003125,411.94260463469226,410.68238208124376,410.5063504552084
1.3800000000000008,-0.167457749699,0.0533402964213,12.2286392706,6.27031738381,0.0799728617689,0.0,-0.433388353583,0.0450930318956,2.95842420907,-0.069156252294,0.105111715307,0.0,423.4703242427987,422.9148597526141,425.38851811787754,422.06758462856504
1.4400000000000008,-0.195437051642,0.0557147720952,12.4127653313,6.26637632059,0.0860395870374,0.0,-0.499950816542,0.0335817887917,3.17843982906,-0.0595179434126,0.0915982459721,0.0,482.8395063142265,481.8268295779516,481.9188061211936,482.6439287316492
1.5000000000000009,-0.22735938969,0.0573444972751,12.6078439707,6.26283183219,0.0916297542317,0.0,-0.564695148555,0.0203642782463,3.32368998187,-0.0582033134726,0.096137906565,0.0,461.7047793573137,462.0697750772665,461.0351572640379,461.136711237458
1.560000000000001,-0.263042202715,0.0581599203173,12.8089459718,6.25939693705,0.0974741586635,0.0,-0.625272871255,0.00649104430406,3.37946554929,-0.0554042040876,0.0998289645537,0.0,434.6344548736855,434.95204870719556,434.1785073797581,434.41095335933227
1.620000000000001,-0.302432272862,0.0580876461577,13.0129573017,6.25582052174,0.103525425216,0.0,-0.688281295145,-0.00921535571943,3.42070002388,-0.0697146912391,0.102828790534,0.0,429.73348477792285,429.9968660165256,431.48019334819367,430.2676038159178
1.680000000000001,-0.345800767527,0.0569811110539,13.2202097709,6.25190326887,0.109567865264,0.0,-0.757909593878,-0.0280526052374,3.48740949602,-0.0576501703521,0.0960895600321,0.0,439.69238762116873,439.1425626174668,438.22565824928523,439.22413706463635
1.740000000000001,-0.393726082754,0.0545957700296,13.4337913265,6.24791180034,0.115539276679,0.0,-0.840191344284,-0.0518304075436,3.63140532479,-0.0974769445585,0.105628214263,0.0,462.9902385170115,463.7481744446869,465.75653698918615,462.6273265833677
1.8000000000000012,-0.446196389409,0.050849639861,13.6515032476,6.24185874981,0.121489855697,0.0,-0.909359743137,-0.0735504121221,3.62555807671,-0.108751891299,0.0813889582163,0.0,418.34193050712656,416.2347163337741,417.5560550700032,416.5615933016356
1.8600000000000012,-0.503549854861,0.0454746884077,13.8739796484,6.23549904203,0.12649825445,0.0,-1.00291302315,-0.106304116296,3.78964004254,-0.100988285789,0.0873439409835,0.0,471.8469385495329,472.3116860958554,470.1580949332295,470.7500574557717
1.9200000000000013,-0.56637506601,0.0380915219049,14.1042676763,6.22911777458,0.131421607208,0.0,-1.09174306855,-0.140407318628,3.88615000785,-0.120128771013,0.0685415541208,0.0,452.9439656153057,451.4344263854713,452.69594118574935,451.1430846033689
1.9800000000000013,-0.634921818303,0.0284058672866,14.3425169851,6.22155098427,0.135819545782,0.0,-1.19355553859,-0.183231371834,4.05473069196,-0.142083529189,0.0814257327217,0.0,475.14981756408054,476.14034129393224,475.1945658815732,473.4947319448715
2.0400000000000014,-0.709873523943,0.0158874710803,14.5922367424,6.2134965485,0.1405355368,0.0,-1.30530392917,-0.234968981792,4.26825937954,-0.121948195403,0.072250153997,0.0,490.26672458723743,489.5887433044806,488.78594259398386,490.2692534144889
2.1000000000000014,-0.79064676324,0.000574735001093,14.8477388989,6.20600159086,0.145279499531,0.0,-1.3875422182,-0.276075060616,4.24838454036,-0.131625245076,0.090050255993,0.0,418.4283276502432,419.9805534652509,419.4182866404324,418.5615700887181
2.1600000000000015,-0.876746036221,-0.0174946817284,15.1040785406,6.19807425202,0.151199000894,0.0,-1.48295202092,-0.326956439856,4.29586361239,-0.133134337653,0.111888887618,0.0,440.3868300758221,442.19792426789894,441.86359399551435,441.72299263846196
2.2200000000000015,-0.968733757812,-0.0387910147156,15.3635122054,6.1898501703,0.157977582248,0.0,-1.58392285371,-0.383656660623,4.35144097904,-0.146389572901,0.115065278457,0.0,444.83175501782085,445.1031404097148,445.69160315090085,444.5892783892335
2.2800000000000016,-1.06752065497,-0.0640058016072,15.6299894916,6.18082750135,0.165206705681,0.0,-1.70966892928,-0.457752869949,4.530069969,-0.159853831632,0.129564373484,0.0,483.7619708279712,484.8642661870018,483.8199134607739,482.78558093715367
2.3400000000000016,-1.17330033366,-0.0934252208858,15.9028358672,6.17078526184,0.172686439981,0.0,-1.81700753465,-0.523751407661,4.5643186643,-0.18989786887,0.112420164331,0.0,441.5120064739235,440.10917426480347,443.5187968854057,441.0160537849145
2.4000000000000017,-1.28632016909,-0.12742346618,16.1814109116,6.15941995497,0.179240329907,0.0,-1.95094385809,-0.610668486897,4.72042310802,-0.188487674447,0.101946031775,0.0,480.9925994105963,480.20811994851124,480.1985883379749,480.2735951228567
2.4600000000000017,-1.40692899561,-0.166474915553,16.4660364868,6.14770061338,0.185894329729,0.0,-2.0699243245,-0.69206220471,4.76647667568,-0.214679370691,0.124540415309,0.0,446.73279647306174,448.58212980339255,450.8493996139974,448.69026622410905
2.520000000000002,-1.5351908931,-0.210907741407,16.7553342175,6.13489845869,0.193105629735,0.0,-2.20614285775,-0.790242635424,4.87576069991,-0.210874235967,0.109644797186,0.0,470.5562785272226,469.4136616276272,469.7262471558024,469.97905831977545
2.580000000000002,-1.67065501495,-0.260635026876,17.0454576203,6.12209259507,0.199578817751,0.0,-2.30989737056,-0.868300785063,4.79493323569,-0.219098383807,0.10411852438,0.0,409.9809138628282,409.5008228317773,410.1109687703686,409.33038317397734
2.640000000000002,-1.81259893477,-0.315355742103,17.3313938746,6.10976116771,0.205839928347,0.0,-2.42211824631,-0.956706567751,4.73604497408,-0.186998942476,0.104814059677,0.0,417.7554643832433,417.82637324944096,416.14920247104465,418.90430297655155
2.700000000000002,-1.96194420546,-0.376031256526,17.6163547598,6.0988677714,0.212562246252,0.0,-2.55663161273,-1.06672816819,4.76196721454,-0.172450577509,0.123550975598,0.0,446.8166597705087,448.35265782693176,445.3035109328511,446.46023325820283
2.760000000000002,-2.12033858787,-0.444216286474,17.9065992697,6.08828025535,0.22022873999,0.0,-2.72385162876,-1.20702897392,4.91145071072,-0.185988627353,0.135102726572,0.0,485.38952478560924,486.2690805511234,488.40914706352305,487.37109107070955
2.820000000000002,-2.28802005601,-0.520241016417,18.2016706915,6.07685888132,0.228595717818,0.0,-2.86624267002,-1.32802388431,4.92349610192,-0.200937690198,0.146962295003,0.0,446.6354728174069,447.619647944291,446.97396666111854,445.7183856223208
2.880000000000002,-2.46549205772,-0.60468064936,18.5018902382,6.06512986598,0.237979196556,0.0,-3.05029923849,-1.48765000576,5.08212288316,-0.186361864277,0.170580633233,0.0,493.12772613054926,494.88959383389744,494.10023725145544,495.14055022985326
2.940000000000002,-2.6538073552,-0.698562183297,18.809794202,6.05370222869,0.248313410797,0.0,-3.22776681641,-1.64261919333,5.17987021052,-0.200250793221,0.175354922767,0.0,479.5290956441907,479.91776107958043,479.5312364627885,478.44215649822917
3.000000000000002,-2.85196223164,-0.801035379538,19.1194950814,6.04223952492,0.25845620738,0.0,-3.37825125339,-1.77399839867,5.14274235314,-0.177118040842,0.151846601337,0.0,439.953179495724,438.0293450322667,437.84672722677345,439.73084688410495
3.0600000000000023,-3.06010101339,-0.912268018468,19.4296986407,6.0316101744,0.267681036116,0.0,-3.56045660577,-1.93452088581,5.19606467067,-0.177231439928,0.15729613022,0.0,470.1502187879287,470.59318850901633,470.2732656269482,470.2361111296041
3.1200000000000023,-3.279803378,-1.03371976804,19.7445120911,6.0209910367,0.276798905854,0.0,-3.76369007864,-2.11460782507,5.29601752879,-0.176499195541,0.138314466446,0.0,489.2626246090518,487.86632523133676,487.00475318251307,487.03233862802784
3.1800000000000024,-3.51054181703,-1.1649388158,20.0605971313,6.01010827671,0.28505802016,0.0,-3.9282683582,-2.26009246184,5.23940732234,-0.193542946439,0.136294301582,0.0,440.85031280616624,440.7010389900126,440.81773740784416,439.374179120191
